Name,Description,Address,City,State,Zip,Phone,Website URL,Google Maps URL,Photo URL,Hours,Admission,Price,Age Range,Features,Type,Date Added,Rating,Review Count,Latitude,Longitude,Full Address,Geocoded,Re-Geocode,Logo,Featured
Bensenville Water Park and Splash Pad,"Bensenville Water Park and Splash Pad opens seasonally from late May through mid-August, operating Tuesday through Sunday from noon to 7 p.m. Children under 2 are admitted free, and the facility offers daily passes as well as season passes that include unlimited access to both the water park and splash pad plus complimentary aqua fitness classes. The park includes a splash pad area and waterslides (with a 48-inch minimum height requirement), along with restrooms, picnic areas, and a designated adults-only deck. An on-site concession area and changing facilities support visitors, and season passes can be purchased at the nearby Deer Grove Leisure Center.",1100 W Wood Ave,Bensenville,Illinois,60106,(630) 766-7946,https://www.bvilleparks.org/WaterPark,"https://www.google.com/maps/place/Bensenville+Water+Park+and+Splash+Pad/@41.9526178,-87.9574411,14z/data=!4m8!1m2!2m1!1sBensenville+Water+Park+and+Splash+Pad!3m4!1s0x880fb3bc99eb0e61:0x6ed202a721e9500!8m2!3d41.9526178!4d-87.9574411",/static/images/bensenville-water-park-and-splash-pad-bensenville.jpg,,Free,,"Families,Kids","Park,Picnic Area,Restrooms,Water park",Water Park,2/26/2026,4.4,394.0,41.9526178,-87.9574411,,checked,,https://lh4.googleusercontent.com/-qEFLIK-CLQk/AAAAAAAAAAI/AAAAAAAAAAA/X4luHe4uI8Q/s44-p-k-no-ns-nd/photo.jpg,
Brooks Street Swim Center,"Brooks Street Swim Center is an aquatic center in Oceanside, California. On-site amenities include restrooms.",130 Brooks St,Oceanside,California,92054,(760) 435-5225,https://www.ci.oceanside.ca.us/Home/Components/FacilityDirectory/FacilityDirectory/2/693,"https://www.google.com/maps/place/Brooks+Street+Swim+Center/@33.1995467,-117.3677948,14z/data=!4m8!1m2!2m1!1sBrooks+Street+Swim+Center!3m4!1s0x80dc6e2edcccc433:0x3a2e76b89c40650c!8m2!3d33.1995467!4d-117.3677948",/static/images/brooks-street-swim-center-oceanside.jpg,"Sunday: 10:15AM–1:15PM
Monday: 6AM–1:15PM
Tuesday: 6AM–1:15PM
Wednesday: 6AM–1:15PM
Thursday: 6AM–1:15PM
Friday: 6AM–1:15PM
Saturday: 10:15AM–1:15PM",,,"Families,Kids","Public swimming pool,Restrooms,Swimming pool",Aquatic Center,2/26/2026,4.4,54.0,33.1995467,-117.3677948,,checked,,https://lh3.googleusercontent.com/-HhFnEM7P4gA/AAAAAAAAAAI/AAAAAAAAAAA/9wwA3XaxjJ0/s44-p-k-no-ns-nd/photo.jpg,
Browns Mill Aquatic Facility,"Browns Mill Family Aquatic Center operates in Stonecrest from late May through early September, closed during DeKalb County school sessions. Daily hours run noon to 7 PM Monday through Saturday, with Sunday hours beginning at 1 PM. Admission costs $12 for adults (14+) and $9 for youth (13 and under), with season pass memberships available; cabana rentals are also offered. The facility requires adult supervision for children 13 and younger and mandates swim diapers for non-potty-trained visitors, while outside food is prohibited unless a $10 cooler fee is paid.",4929 Browns Mill Rd,Stonecrest,Georgia,30038,(770) 224-0191,https://brownsmill.myrec.com/info/default.aspx,"https://www.google.com/maps/place/Browns+Mill+Aquatic+Facility/@33.6757859,-84.18663579999999,14z/data=!4m8!1m2!2m1!1sBrowns+Mill+Aquatic+Facility!3m4!1s0x88f5ab58bbebd299:0x71fe539bcdbb4278!8m2!3d33.6757859!4d-84.18663579999999",/static/images/browns-mill-aquatic-facility-stonecrest.jpg,Daily: 12–7PM,,,"All Ages,Families,Kids","Aquatic center,Restrooms",Aquatic Center,2/26/2026,4.0,,33.6757859,-84.1866358,,checked,,https://lh3.googleusercontent.com/-AZeOwORG3Og/AAAAAAAAAAI/AAAAAAAAAAA/_NmPIQUPY_Y/s44-p-k-no-ns-nd/photo.jpg,
Brownstone Adventure Sports Park,"Brownstone Adventure Sports Park in Portland, Connecticut is an adventure center offering rock climbing, swimming, zip lining, hiking, and cliff jumping activities. The facility is wheelchair accessible, with accessible entrances, parking, and restrooms available. Admission is charged to use the venue.",161 Brownstone Ave,Portland,Connecticut,6480,(866) 860-0208,http://brownstonepark.com/,"https://www.google.com/maps/place/Brownstone+Adventure+Sports+Park/@41.575015,-72.645055,14z/data=!4m8!1m2!2m1!1sBrownstone+Adventure+Sports+Park!3m4!1s0x89e64bb367cb043b:0x8d04c3f0e578ba31!8m2!3d41.575015!4d-72.645055",/static/images/brownstone-adventure-sports-park-portland.jpg,"Sunday: Closed
Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: Closed
Friday: Closed
Saturday: 10AM–6PM",Paid,,"Families,Kids","Water park,Adventure sports center",,2/26/2026,4.4,1353.0,41.5750150,-72.6450550,,checked,,https://lh6.googleusercontent.com/-yZqjlEZt6TY/AAAAAAAAAAI/AAAAAAAAAAA/_sWYU8MrVUI/s44-p-k-no-ns-nd/photo.jpg,
California Dreamin,"California Dreamin is a water play area in Sacramento, California. It is a paid facility. Buying tickets in advance is recommended. On-site amenities include restrooms, food service, and an adjacent playground. It offers wheelchair-accessible entrances, parking, and restrooms. It accepts credit cards, debit cards, and mobile payments. It is open seven days a week.",1600 Exposition Blvd,Sacramento,California,95815,,https://californiadreamin.fun/,"https://www.google.com/maps/place/California+Dreamin/@38.593674299999996,-121.43481209999999,14z/data=!4m8!1m2!2m1!1sCalifornia+Dreamin!3m4!1s0x809adbc9f9c1ef1d:0xcfdc607a84e2331e!8m2!3d38.593674299999996!4d-121.43481209999999",/static/images/california-dreamin-sacramento.jpg,"Sunday: 10:30AM–12:30AM
Monday: 10:30AM–12:30AM
Tuesday: 10:30AM–12:30AM
Wednesday: 10:30AM–12:30AM
Thursday: 10:30AM–12:30AM
Friday: 10:30AM–1:30AM
Saturday: 10:30AM–1:30AM",Paid,,"Families,Kids",Amusement park,,2/26/2026,4.1,10.0,38.5936743,-121.4348121,,checked,,https://lh6.googleusercontent.com/-lG8gvS0tG84/AAAAAAAAAAI/AAAAAAAAAAA/XnCyruHR8n8/s44-p-k-no-ns-nd/photo.jpg,
Camelbeach Outdoor Waterpark at Camelback Resort,"Camelbeach Outdoor Waterpark at Camelback Resort in Tannersville is Pennsylvania's largest outdoor water park, featuring 37 rides and slides including attractions like Rival Racer and High Noon Typhoon, plus a lazy river and toddler interactive area. The park operates seasonally during summer and offers day tickets and season passes purchased online, along with amenities including poolside shops, restaurants, picnic areas, restrooms, and rental options for strollers, wheelchairs, picnic tables, and lockers. The resort also features Aquatopia Indoor Waterpark with 13 additional slides and a wave pool operating year-round, plus VIP seating, private cabanas, and arcade games available to enhance visits.",301 Resort Dr,Tannersville,Pennsylvania,18372,(570) 629-1661,https://www.camelbackresort.com/camelbeach-outdoor-waterpark,"https://www.google.com/maps/place/Camelbeach+Outdoor+Waterpark+at+Camelback+Resort/@41.0515842,-75.35525319999999,14z/data=!4m8!1m2!2m1!1sCamelbeach+Outdoor+Waterpark+at+Camelback+Resort!3m4!1s0x89c4f4a51d8abb99:0x2540f860b88637fb!8m2!3d41.0515842!4d-75.35525319999999",/static/images/camelbeach-outdoor-waterpark-at-camelback-resort-tannersville.jpg,,Paid,,"Families,Kids","Amusement park,Picnic Area,Restrooms,Theme park,Tourist attraction,Water park",Resort Water Park,2/26/2026,4.4,5916.0,41.0515842,-75.3552532,,checked,,https://lh4.googleusercontent.com/-3vxUB_9JKDQ/AAAAAAAAAAI/AAAAAAAAAAA/pdARBUxRNFA/s44-p-k-no-ns-nd/photo.jpg,
Cameron Run Regional Park,"Cameron Run Regional Park in Alexandria spans 26 acres and includes Great Waves Waterpark alongside batting cages and an 18-hole miniature golf course. The waterpark operates Friday 4–8PM, Saturday 10AM–8PM, and Sunday 12–8PM. The larger park offers picnic shelters for group gatherings and serves families seeking a mix of water play and other recreational activities.",4001 Eisenhower Ave,Alexandria,Virginia,22304,(703) 960-0767,https://www.novaparks.com/parks/cameron-run-regional-park,"https://www.google.com/maps/place/Cameron+Run+Regional+Park/@38.8049979,-77.100538,14z/data=!4m8!1m2!2m1!1sCameron+Run+Regional+Park!3m4!1s0x89b7b1875082536d:0x92835718051cda1a!8m2!3d38.8049979!4d-77.100538",/static/images/cameron-run-regional-park-alexandria.jpg,"Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: Closed
Friday: 4–8PM
Saturday: 10AM–8PM
Sunday: 12–8PM",Paid,,"Families,Kids","Park,Picnic Area,Tourist attraction,Water park",,2/26/2026,4.3,1216.0,38.8049979,-77.1005380,,checked,,https://lh3.googleusercontent.com/-YC40ivVr0MM/AAAAAAAAAAI/AAAAAAAAAAA/OOh-uShhMc0/s44-p-k-no-ns-nd/photo.jpg,
Canyon Aqua Park,"Canyon Aqua Park is a water play area in Canyon, Texas. Buying tickets in advance is recommended. On-site attractions include a lazy river. On-site amenities include restrooms, food service, lockers, and party services. The venue provides free parking. It includes gentler water features suited to toddlers.",1900 12th Ave,Canyon,Texas,79015,(806) 655-5016,https://www.canyontx.com/694/Canyon-Aqua-Park---The-CAP,"https://www.google.com/maps/place/Canyon+Aqua+Park/@34.9705875,-101.9238069,14z/data=!4m8!1m2!2m1!1sCanyon+Aqua+Park!3m4!1s0x87016785ffe31bef:0x3af39de2857e4d9c!8m2!3d34.9705875!4d-101.9238069",/static/images/canyon-aqua-park-canyon.jpg,,,,"Families,Kids,Toddlers","Water park,Tourist attraction",,2/26/2026,4.3,,34.9705875,-101.9238069,,checked,,https://lh4.googleusercontent.com/-Yxi7DsqIsaE/AAAAAAAAAAI/AAAAAAAAAAA/dSg7zPPesQM/s44-p-k-no-ns-nd/photo.jpg,
Canyon Springs Waterpark,"Canyon Springs Waterpark is a Christian-themed water park in Weatherford, Texas, featuring slides, a wave pool, and a lazy river. The facility includes a snack bar for refreshments and provides wheelchair-accessible entrances, parking, and restrooms. Picnic areas are available on-site, and admission is charged to enter.",1001 Cinema Dr,Weatherford,Texas,76087,(817) 598-0777,http://www.canyonspringswaterpark.com/,"https://www.google.com/maps/place/Canyon+Springs+Waterpark/@32.754121399999995,-97.71774529999999,14z/data=!4m8!1m2!2m1!1sCanyon+Springs+Waterpark!3m4!1s0x864e015ee5d65b55:0x3cf9fe90768c2ff0!8m2!3d32.754121399999995!4d-97.71774529999999",/static/images/canyon-springs-waterpark-weatherford.jpg,,Paid,,"Families,Kids","Picnic Area,Restrooms,Tourist attraction,Water park",Water Park,2/26/2026,4.2,1013.0,32.7541214,-97.7177453,,checked,,https://lh6.googleusercontent.com/-0HNT_wokAeM/AAAAAAAAAAI/AAAAAAAAAAA/NeDY_-K49GE/s44-p-k-no-ns-nd/photo.jpg,
Catapult Adventure Park St. Pete,"Catapult Adventure Park St. Pete is an amusement park with water attractions in St. Petersburg, Florida. On-site amenities include restrooms and picnic areas. It is open daily.",4460 66th St N,St. Petersburg,Florida,33709,(727) 416-0400,https://catapultadventureparkstpetersburg.com/,"https://www.google.com/maps/place/Catapult+Adventure+Park+St.+Pete/@27.812543299999998,-82.7298782,14z/data=!4m8!1m2!2m1!1sCatapult+Adventure+Park+St.+Pete!3m4!1s0x88c2e34c2cdc7653:0x69a877ae41392c6e!8m2!3d27.812543299999998!4d-82.7298782",/static/images/catapult-adventure-park-st-pete-st-petersburg.jpg,Daily: 2–9PM,,,"Families,Kids","Amusement park,Children's amusement center,Picnic Area,Restrooms",Amusement Park,2/26/2026,4.3,,27.8125433,-82.7298782,,checked,,https://lh6.googleusercontent.com/-Ie7MDyUuXVw/AAAAAAAAAAI/AAAAAAAAAAA/9vv7OxEUoHw/s44-p-k-no-ns-nd/photo.jpg,
Chesapeake Beach Water Park,"Chesapeake Beach Water Park in Chesapeake Beach, Maryland is a family-friendly water park offering pools, slides, waterfalls, and a lazy river. Admission is free, and the facility provides complimentary parking, restrooms, food service, picnic areas, and lockers. Private cabana rentals and party services are available, and the venue accepts credit cards and debit cards.",4079 Gordon Stinnett Ave,Chesapeake Beach,Maryland,20732,,http://www.chesapeakebeachwaterpark.com/,"https://www.google.com/maps/place/Chesapeake+Beach+Water+Park/@38.691995999999996,-76.535546,14z/data=!4m8!1m2!2m1!1sChesapeake+Beach+Water+Park!3m4!1s0x89b7860fcb440049:0x2f70f2060671dd73!8m2!3d38.691995999999996!4d-76.535546",/static/images/chesapeake-beach-water-park-chesapeake-beach.jpg,,Free,,"Families,Kids","Picnic Area,Restrooms,Tourist attraction,Water park",Water Park,2/26/2026,3.9,877.0,38.6919960,-76.5355460,,checked,,https://lh6.googleusercontent.com/-v6_pdahq7j4/AAAAAAAAAAI/AAAAAAAAAAA/XyfSFLoWpJ4/s44-p-k-no-ns-nd/photo.jpg,
City of Gaithersburg Water Park at Bohrer Park,"City of Gaithersburg Water Park at Bohrer Park is an outdoor swimming facility featuring a deep-lane pool and shallow play area with a 250-foot double waterslide. The park provides wheelchair-accessible entrances and parking, along with on-site restrooms and picnic areas for visitors.",512 S Frederick Ave,Gaithersburg,Maryland,20877,(301) 258-6445,https://www.gaithersburgmd.gov/recreation/aquatics/water-park-at-bohrer-park,"https://www.google.com/maps/place/City+of+Gaithersburg+Water+Park+at+Bohrer+Park/@39.1329468,-77.1958966,14z/data=!4m8!1m2!2m1!1sCity+of+Gaithersburg+Water+Park+at+Bohrer+Park!3m4!1s0x89b7d2cc771ff86d:0x5d2004ec73073a5c!8m2!3d39.1329468!4d-77.1958966",/static/images/city-of-gaithersburg-water-park-at-bohrer-park-gaithersburg.jpg,,,,"Families,Kids","Picnic Area,Public swimming pool,Restrooms,Water park",Water Park,2/26/2026,4.0,809.0,39.1329468,-77.1958966,,checked,,https://lh5.googleusercontent.com/-8S--liycw8c/AAAAAAAAAAI/AAAAAAAAAAA/x2B8ChdKcz8/s44-p-k-no-ns-nd/photo.jpg,
Classic Waterslides,"Classic Waterslides in Riverdale operates as a water park open Monday through Saturday from 11 AM to 5 PM, with admission at $12.95 per person ages 3 and up and free entry for children under 3 (who must wear swim diapers and waterproof covers). The facility features waterslides and offers shaded cabanas available for hourly rental, a snack bar with frozen treats starting at $1, and accommodations for private parties. Children under 3 must comply with swim diaper requirements; outside food and beverages are prohibited except for cake and water.",4465 S 600 W,Riverdale,Utah,84405,(801) 394-0822,https://classicwaterslides.com/,"https://www.google.com/maps/place/Classic+Waterslides/@41.1814937,-111.99011329999999,14z/data=!4m8!1m2!2m1!1sClassic+Waterslides!3m4!1s0x87530f7b65a79781:0x6d6d163a54ddbaa3!8m2!3d41.1814937!4d-111.99011329999999",/static/images/classic-waterslides-riverdale.jpg,"Monday: 10AM–5PM
Tuesday: 10AM–5PM
Wednesday: 10AM–5PM
Thursday: 10AM–5PM
Friday: 10AM–5PM
Saturday: 10AM–5PM
Sunday: Closed",Free,,"Families,Kids",Water park,,2/26/2026,4.3,352.0,41.1814937,-111.9901133,,checked,,https://lh4.googleusercontent.com/-CdZB5PNAuFU/AAAAAAAAAAI/AAAAAAAAAAA/fiUvSI1uXDE/s44-p-k-no-ns-nd/photo.jpg,
